classroom_id,room_id,capacity
1,10,31
2,98,35
3,84,27
4,50,29
5,4,22
6,75,28
7,91,24
8,6,30
9,62,25
10,9,23
11,25,34
12,85,31
13,95,27
14,89,26
15,70,29
16,8,21
17,28,28
18,85,20
19,77,29
20,53,29
21,77,34
22,73,29
23,53,33
24,60,20
25,100,25
26,29,31
27,67,32
28,75,21
29,31,20
30,62,22
31,64,30
32,74,27
33,59,31
34,89,31
35,17,26
36,14,34
37,55,21
38,29,24
39,25,22
40,75,30
41,33,32
42,60,29
43,47,23
44,50,26
45,58,34
46,52,26
47,58,28
48,98,23
49,47,32
50,9,27
51,14,31
52,92,20
53,1,22
54,10,20
55,49,27
56,24,32
57,83,29
58,70,27
59,37,26
60,15,34
