classroom_id,session_id,start_time,end_time
1,13,2022-08-06T11:03:07Z,2022-08-06T11:48:07Z
2,26,2022-10-20T00:46:22Z,2022-10-20T01:31:22Z
3,34,2022-08-31T04:11:07Z,2022-08-31T04:56:07Z
4,31,2021-11-23T23:27:16Z,2021-11-24T00:12:16Z
5,44,2022-06-28T09:30:17Z,2022-06-28T10:15:17Z
6,37,2022-06-27T00:30:45Z,2022-06-27T01:15:45Z
7,16,2022-01-12T21:31:03Z,2022-01-12T22:16:03Z
8,31,2022-10-04T11:55:23Z,2022-10-04T12:40:23Z
9,33,2022-07-22T19:41:13Z,2022-07-22T20:26:13Z
10,46,2022-11-14T09:20:14Z,2022-11-14T10:05:14Z
11,16,2021-11-23T11:30:10Z,2021-11-23T12:15:10Z
12,40,2022-01-29T00:48:56Z,2022-01-29T01:33:56Z
13,45,2022-09-04T01:37:25Z,2022-09-04T02:22:25Z
14,7,2022-09-11T22:58:05Z,2022-09-11T23:43:05Z
15,38,2022-11-05T04:50:24Z,2022-11-05T05:35:24Z
16,18,2022-04-30T04:30:27Z,2022-04-30T05:15:27Z
17,26,2022-05-29T18:40:15Z,2022-05-29T19:25:15Z
18,34,2022-03-25T22:50:17Z,2022-03-25T23:35:17Z
19,50,2021-12-26T17:42:25Z,2021-12-26T18:27:25Z
20,21,2022-03-25T17:27:54Z,2022-03-25T18:12:54Z
21,27,2022-10-18T00:09:41Z,2022-10-18T00:54:41Z
22,2,2022-03-16T21:36:55Z,2022-03-16T22:21:55Z
23,46,2022-09-01T17:27:20Z,2022-09-01T18:12:20Z
24,38,2022-03-05T04:04:05Z,2022-03-05T04:49:05Z
25,14,2022-01-14T18:13:42Z,2022-01-14T18:58:42Z
26,38,2022-07-17T15:27:21Z,2022-07-17T16:12:21Z
27,5,2022-07-22T13:10:26Z,2022-07-22T13:55:26Z
28,3,2022-04-01T19:58:33Z,2022-04-01T20:43:33Z
29,34,2021-12-26T11:58:44Z,2021-12-26T12:43:44Z
30,45,2022-07-05T06:32:22Z,2022-07-05T07:17:22Z
31,15,2022-07-08T02:50:12Z,2022-07-08T03:35:12Z
32,4,2022-09-18T21:56:01Z,2022-09-18T22:41:01Z
33,40,2022-06-15T15:09:28Z,2022-06-15T15:54:28Z
34,30,2022-04-18T14:07:18Z,2022-04-18T14:52:18Z
35,35,2022-04-11T03:30:38Z,2022-04-11T04:15:38Z
36,43,2022-10-04T12:39:26Z,2022-10-04T13:24:26Z
37,36,2022-05-26T17:08:23Z,2022-05-26T17:53:23Z
38,44,2022-06-26T20:17:57Z,2022-06-26T21:02:57Z
39,17,2022-01-25T20:28:30Z,2022-01-25T21:13:30Z
40,39,2022-09-17T03:24:57Z,2022-09-17T04:09:57Z
41,43,2022-08-06T04:35:55Z,2022-08-06T05:20:55Z
42,31,2022-08-14T21:38:14Z,2022-08-14T22:23:14Z
43,41,2022-05-03T03:53:18Z,2022-05-03T04:38:18Z
