session_id,department_id,title,description,type,difficulty_level,keyords,start_time,end_time
1,3,eget,vestibulum velit id,Optional lecture,Beginner,pede libero,2022-08-15T22:10:25Z,2022-08-15T22:55:25Z
2,3,in felis,laoreet ut rhoncus aliquet,Optional workshop,Advanced,dis,2022-10-09T16:28:45Z,2022-10-09T17:13:45Z
3,2,donec,a feugiat et,Mandatory class,Intermedium,eget massa tempor,2022-06-08T10:06:12Z,2022-06-08T10:51:12Z
4,4,eget elit,volutpat eleifend donec ut dolor,Optional lecture,Intermedium,iaculis congue vivamus metus,2022-09-07T21:23:07Z,2022-09-07T22:08:07Z
5,5,elit,ut ultrices vel augue vestibulum,Mandatory class,Intermedium,velit,2022-02-27T00:08:41Z,2022-02-27T00:53:41Z
6,4,felis,sit amet,Optional workshop,Advanced,vestibulum ante,2022-02-09T05:11:32Z,2022-02-09T05:56:32Z
7,5,lacus,curabitur gravida nisi at nibh,Mandatory class,Beginner,enim lorem ipsum dolor,2022-03-02T02:09:26Z,2022-03-02T02:54:26Z
8,5,sit amet,odio condimentum id,Optional lecture,Beginner,id,2022-10-31T10:24:29Z,2022-10-31T11:09:29Z
9,1,vitae mattis,duis faucibus,Optional workshop,Beginner,amet eros suspendisse,2022-03-09T15:30:24Z,2022-03-09T16:15:24Z
10,2,donec ut,mattis nibh ligula,Mandatory class,Intermedium,pretium,2022-07-09T11:46:26Z,2022-07-09T12:31:26Z
11,4,massa quis,mauris eget massa tempor convallis,Mandatory class,Advanced,nulla,2022-07-11T07:10:09Z,2022-07-11T07:55:09Z
12,5,et ultrices,tincidunt eu,Optional lecture,Advanced,lobortis sapien sapien,2022-03-03T18:53:25Z,2022-03-03T19:38:25Z
13,3,rhoncus,nibh in,Mandatory class,Intermedium,elementum,2022-08-01T04:09:05Z,2022-08-01T04:54:05Z
14,3,nascetur,volutpat quam,Mandatory class,Advanced,felis ut at dolor,2022-08-09T20:40:47Z,2022-08-09T21:25:47Z
15,2,in,id nulla ultrices aliquet maecenas,Optional workshop,Intermedium,amet,2022-04-07T08:32:06Z,2022-04-07T09:17:06Z
16,3,amet diam,faucibus orci luctus et ultrices,Optional workshop,Intermedium,est lacinia nisi venenatis,2022-08-20T03:35:02Z,2022-08-20T04:20:02Z
17,3,auctor gravida,in tempus sit,Optional lecture,Beginner,consectetuer adipiscing elit proin,2022-07-09T07:49:09Z,2022-07-09T08:34:09Z
18,3,eget,massa quis augue luctus tincidunt,Optional lecture,Advanced,dapibus augue vel,2022-08-27T12:17:58Z,2022-08-27T13:02:58Z
19,2,aliquet massa,orci eget orci vehicula condimentum,Optional lecture,Intermedium,lobortis vel,2022-05-09T12:32:04Z,2022-05-09T13:17:04Z
20,5,ac tellus,arcu adipiscing molestie,Optional workshop,Beginner,sit amet diam in,2022-03-30T05:46:20Z,2022-03-30T06:31:20Z
21,5,vestibulum ante,lorem ipsum,Optional workshop,Advanced,dapibus at diam nam,2022-07-12T18:51:26Z,2022-07-12T19:36:26Z
22,3,quis,varius integer,Optional workshop,Beginner,morbi non quam,2022-04-26T01:34:07Z,2022-04-26T02:19:07Z
23,5,convallis morbi,fusce lacus purus aliquet,Optional workshop,Intermedium,sapien urna pretium,2022-07-31T16:45:16Z,2022-07-31T17:30:16Z
24,4,ut,quisque ut erat curabitur,Mandatory class,Intermedium,leo,2022-07-27T03:27:09Z,2022-07-27T04:12:09Z
25,4,posuere cubilia,tortor sollicitudin,Optional lecture,Beginner,aliquam sit amet diam,2022-04-06T05:21:37Z,2022-04-06T06:06:37Z
